ID,first_name,last_name,sex,title,birth_date,birth_place,death_date,death_place
33,"Mary","Windsor",F,"Princess Royal","25 APR 1897","York Cottage,Sandringham,Norfolk,England","28 MAR 1965","Harewood House,Yorkshire,,England"
34,"Henry William Frederick","Windsor",M,"Duke","31 MAR 1900","York Cottage,Sandringham,Norfolk,England","1974",
35,"George Edward Alexander","Windsor",M,"Duke of Kent","20 DEC 1902","York Cottage,Sandringham,Norfolk,England","25 AUG 1942","Morven,,,Scotland"
36,"John Charles Francis","Windsor",M,"Prince","12 JUL 1905","York Cottage,Sandringham,Norfolk,England","18 JAN 1919","Wood Farm,Wolferton,Norfolk,England"
37,"Nicholas_II Alexandrovich","Romanov",M,"Tsar of Russia","18 MAY 1868","Tsarskoye Selo,Pushkin,,Russia","16 JUL 1918","Ekaterinburg,,,Russia"
38,"Victoria Alberta of_Hesse","",F,"Princess","1863",,"1950",
39,"Alexandra Fedorovna "Alix"","",F,"Tsarina","6 JUN 1872","Darmstadt,,,Germany","16 JUL 1918","Ekaterinburg,,,Russia"
40,"Alexander_III Alexandrovich","Romanov",M,"Tsar of Russia","1845",,"1 NOV 1894","Livadia,Crimea,Near Yalta,Russia"
41,"Dagmar "Marie" of_Denmark","",F,"Tsarina","1847",,"OCT 1928","Copenhagen,,,Denmark"
42,"Nicholas_I","Romanov",M,"Tsar of Russia","1796",,"1855",
43,"Charlotte of_Prussia","",F,"Princess","1798",,"1860",
44,"Alexander_II Nicholoevich","Romanov",M,"Tsar of Russia","1818",,"13 MAR 1881",
45,"Marie of_Hesse- Darmstadt","",F,,"1824",,"1880",
46,"Olga Nicholovna","Romanov",F,"Grand Duchess","NOV 1895","Alexander Palace,Tsarskoe Selo,,Russia","18 JUL 1918","Ekaterinburg,,,Russia"
47,"Tatiana Nicholovna","",F,"Grand Duchess","JUN 1897",,"18 JUL 1918","Ekaterinburg,,,Russia"
48,"Maria Nicholovna","Romanov",F,"Grand Duchess","MAY 1899",,"18 JUL 1918","Ekaterinburg,,,Russia"
49,"Anastasia Nicholovna","Romanov",F,"Grand Duchess","JUN 1901",,"18 JUL 1918","Ekaterinburg,,,Russia"
50,"Alexis Nicolaievich","Romanov",M,"Tsarevich","12 AUG 1904","Peterhof,Near,St. Petersburg,Russia","18 JUL 1918","Ekaterinburg,,,Russia"
51,"Elizabeth Angela Marguerite","Bowes-Lyon",F,"Lady","4 AUG 1900",",,London,England",,
52,"Elizabeth_II Alexandra Mary","Windsor",F,"Queen of England","21 APR 1926","17 Bruton St.,London,W1,England",,
53,"Margaret Rose","Windsor",F,"Princess","21 AUG 1930","Glamis Castle,,Angus,Scotland",,
54,"Anthony Charles Robert","Armstrong-Jones",M,"Earl of Snowdon","7 MAR 1930",,,
55,"David Albert Charles","Armstrong-Jones",M,"Vicount Linley","3 NOV 1961",,,
56,"Sarah Frances Elizabeth","Armstrong-Jones",F,"Lady","1 MAY 1964",,,
57,"Philip","Mountbatten",M,"Prince","10 JUN 1921","Isle of Kerkira,Mon Repos,Corfu,Greece",,
58,"Charles Philip Arthur","Windsor",M,"Prince","14 NOV 1948","Buckingham,Palace,London,England",,
59,"Anne Elizabeth Alice","Windsor",F,"Princess","15 AUG 1950","Clarence House,St. James,,England",,
60,"Andrew Albert Christian","Windsor",M,"Duke of York","19 FEB 1960","Belgian Suite,Buckingham,Palace,England",,
61,"Edward Anthony Richard","Windsor",M,"Prince","10 MAR 1964","Buckingham,Palace,London,England",,
62,"Mark Anthony Peter","Phillips",M,"Captain","22 SEP 1948",,,
63,"Peter Mark Andrew","Phillips",M,,"15 NOV 1977","St. Mary's Hosp.,Paddington,London,England",,
64,"Zara Anne Elizabeth","Phillips",F,,"15 MAY 1981","St. Marys Hosp.,Paddington,London,England",,
65,"Diana Frances","Spencer",F,"Lady","1 JUL 1961","Park House,Sandringham,Norfolk,England",,
66,"Marina of_Greece","",F,"Princess","30 NOV 1906","Athens,Greece","1968","Kensington,Palace,,England"
67,"Edward George Nicholas","Windsor",M,"Duke of Kent","9 SEP 1935","3 Belgrave Sq.,,England",,
68,"Henry George Charles","Lascelles",M,"Viscount","1882",,"1947",
69,"Alice Christabel","Montagu-Douglas",F,"Lady","25 DEC 1901","London,England",,
70,"Bessiewallis","Warfield",F,,"1896",",,,U.S.A.","24 APR 1986","Paris,,,France"
71,"Charles Haakon_VII","",M,"King of Norway","1872","Charlottenlund,Denmark","1957",
72,"Henry of_Prussia","",M,"Prince","1862",,"1929",
73,"Sigismund","",M,,"1864",,"1866",
74,"Victoria","",F,"Princess","1866",,"1929",
75,"Waldemar","",M,,"1868",,"1879",
76,"Sophie of_Prussia","",F,"Queen of Greece","14 JUN 1870","Potsdam,Germany","13 JAN 1932","Frankfurt,Germany"
77,"Charlotte of_Saxe- Meiningen","",F,"Duchess","1860",,"1919",
78,"Margarete of_Hesse","",F,"Princess","1872",,"1954",
79,"Irene of_Hesse","",F,"Princess","1866",,"1953",
80,"Waldemar","",M,,"1889",,"1945",
81,"Henry","",M,,"1900",,"1904",
82,"Child_#3","",M,,,,,
83,"Ernest Louis of_Hesse","",M,"Grand Duke","1868",,"1937",
84,"Elizabeth "Ella"","",F,"Grand Duchess","1864",,"17 JUL 1918","Alapayevsk,Ural Mts.,,Russia"
85,"Mary "May"","",F,,"1874",,"1878","Hesse-Darmstadt,Palace,,Germany"
86,"Frederick","",M,,"1870",,"1873",
87,"William Henry Andrew","Windsor",M,"Prince","18 DEC 1941","Hadley Common,Hertfordshire,England","28 AUG 1972","Near,Wolverhampton,England"
88,"Richard Alexander Walter","Windsor",M,"Prince","26 AUG 1944","Hadley Common,Hertfordshire,England",,
89,"Birgitte of_Denmark","von_Deurs",F,"Duchess","1947",,,
90,"Alexander Patrick Gregers","",M,"Earl of Ulster","24 OCT 1974","St. Marys Hosp.,Paddington,London,England",,
91,"Earl Winfield","Spencer",M,"Jr.",,,,
92,"Ernest","Simpson",M,,,,,
93,"Frances","Burke_Roche",F,"Hon.","1936",,,
94,"Marie Alexandrovna","",F,"Grand Duchess","17 OCT 1853","St. Petersburg,,,Russia","25 OCT 1920","Zurich,,,Switzerland"
95,"Alfred","",M,"Prince","1874",,"1899",
96,"Marie of_Saxe-Coburg and_Gotha","",F,"Queen of Romania","29 OCT 1875","Eastwell Park,Kent,England","10 JUL 1938","Castle Pelesch,Sinaia,Romania"
97,"Victoria Melita of_Edinburgh","",F,"Grand Duchess","1876","Malta","1936",
98,"Alexandra","",F,"Princess","1878",,"1942",
99,"Beatrice","",F,"Princess","1884",,"1966",
100,"Louis of_Battenberg","",M,"Prince","1854",,"1921",
101,"Alice of_Battenberg","",F,"Princess","1885",,"ABT    1969","Buckingham,Palace,London,England"
102,"George","Mountbatten",M,"Marquess","1892",,"1938",
103,"Louis of_Burma","Mountbatten",M,"Earl Mountbatten","1900","Windsor,Berkshire,England","27 AUG 1979","Donegal Bay,County Sligo,Ireland"
104,"Andrew of_Greece","",M,"Prince","1882",,"1944",
105,"Alexander","Duff",M,"Duke of Fife","1849",,"1912",
106,"Alexandra","Windsor",F,"Princess","25 DEC 1936",,,
107,"Michael","Windsor",M,"Prince","4 JUL 1942","Coppins,,England",,
108,"Angus","Ogilvy",M,"Hon.","1928",,,
109,"James Robert Bruce","Ogilvy",M,,"29 FEB 1964","Thatched House,Lodge,,England",,
110,"Marina Victoria Alexandra","Ogilvy",F,,"31 JUL 1966","Thatched House,Lodge,Richmond Park,England",,
111,"Katharine","Worsley",F,"Duchess of Kent","1933",,,
112,"George Philip of_St._Andrews","Windsor",M,"Earl","26 JUN 1962",,,
113,"Helen Marina Lucy","Windsor",F,"Lady","28 APR 1964",,,
114,"Nicholas Charles Edward","Windsor",M,"Lord","25 JUL 1970","Kings College,Hospital,Denmark Hill",,
115,"William Arthur Philip","Windsor",M,"Prince","21 JUN 1982","St. Mary's Hosp.,Paddington,London,England",,
116,"Henry Charles Albert","Windsor",M,"Prince","15 SEP 1984","St. Mary's Hosp.,Paddington,London,England",,
117,"(Frederick) Christian Charles","",M,"Prince","1831",,"1917",
118,"Marie Louise","",F,"Princess","1872",,"1956",
119,"Aribert of_Anhalt","",M,,"1864",,"1933",
120,"Louise Margaret of_Prussia","",F,"Duchess","25 JUN 1860","Potsdam","14 MAR 1917","Clarence House,London,,England"
121,"Margaret of_Sweden","",F,"Crown Princess","15 JAN 1882","Bagshot Park","1 MAY 1920","Stockholm,Sweden"
122,"Arthur of_Connaught","",M,"Duke","1883",,"1938",
123,"Patricia","",F,"Lady Ramsay","1886",,"1974",
124,"Gustav_VI Adolf","",M,"King of Sweden","11 NOV 1882","Stockholm,Sweden","15 SEP 1973","Helsingborg"
125,"Alexandra","",F,"Duchess of Fife","1891",,"26 FEB 1959",
126,"Alexander","Ramsay",M,"Admiral Sir","1881",,"1972",
127,"Isabella of_France","",F,,"1292","Paris","22 AUG 1358","Castle Rising,Norfolk,England"
128,"Issue_Unknown","",M,,,,,
129,"Charles Edward","",M,"Duke","1884",,"1954",
130,"George_III","Hanover",M,"King of England","4 JUN 1738","Norfolk-House,St. James Square,London,England","29 JAN 1820","Windsor Castle,Windsor,Berkshire,England"
131,"(Sophia) Charlotte","",F,,"19 MAY 1744","Mirow","17 NOV 1818","Kew Palace"
132,"Adolphus of_Cambridge","Hanover",M,"Duke","1774",,"1850",
133,"Edward Augustus","Hanover",M,"Duke of Kent","2 NOV 1767","Buckingham House,,London,England","23 JAN 1820","Sidmouth,Devon,,England"
134,"Augusta of_Hesse-Cassel","",F,"Princess","1797",,"1889",
135,"Augusta Caroline","",F,,"1822",,"1916",
136,"Mary Adelaide "Fat_Mary"","",F,,"1833",,"1897",
137,"Francis","",M,"Duke of Teck","1837",,"1900",
138,"Victoria Mary Louisa","",F,,"17 AUG 1786","Coburg","16 MAR 1861","Frogmore House,Windsor,,England"
139,"Ernest_I of_Saxe-Coburg- Saalfeld","",M,"Duke","1784",,"29 JAN 1844",
140,"Louise of_Saxe-Coburg- Altenburg","",F,,"1800","Thuringia","1831","Paris,France"
141,"George_IV","Hanover",M,"King of England","12 AUG 1762",",,London,England","26 JUN 1830","Windsor Castle,Berkshire,England"
142,"Maria Anne","Fitzherbert",F,,"1756",,"1837",
143,"Caroline Amelia of_Brunswick","",F,,"1768",,"1821",
144,"Charlotte Augusta","Hanover",F,"Princess","7 JAN 1796","Carlton House","6 NOV 1817","Claremont House,Esher,Surrey,England"
145,"Claude George","Bowes-Lyon",M,"Earl of Strath.","1855",,"1944",
146,"Cecilia Nina","Cavendish-Bentin",F,"Countess of S.","1862",,"1938",
147,"Margarita","Mountbatten",F,,"1905",,"1981",
148,"Theodora","Mountbatten",F,,"1906",,"1960",
149,"Vladimir","Romanov",M,"Grand Duke","1847",,"1909",
150,"Alexis","Romanov",M,"Grand Duke","1850",,"1908",
151,"Serge Alexandrovich","Romanov",M,"Grand Duke","1857",,"FEB 1905",
152,"Paul Alexandrovich","Romanov",M,"Grand Duke","1860",,"JAN 1919","Fortress of,Peter and Paul,,Russia"
153,"George Alexandrovich","Romanov",M,"Grand Duke","1871",,"JUL 1899","Abbas Tuman,Caucasus,Russia"
154,"Xenia","Romanov",F,"Grand Duchess","1875",,"20 APR 1960","London,England"
155,"Michael "Mischa" Alexandrovich","Romanov",M,"Grand Duke","1878",,"10 JUL 1918","Perm,,,Russia"
156,"Olga Alexandrovna","Romanov",F,"Grand Duchess","1 JUN 1882",,"24 NOV 1960","East Toronto,Ontario,,Canada"
157,"Marie","Pavlovna",F,"Grand Duchess","1854",,"1920",
158,"Cyril Vladimirovitch","Romanov",M,"Grand Duke","1876",,"1938",
159,"Boris","Romanov",M,"Grand Duke","1877",,"1943",
160,"Andrei (Andrew) Vladimirovich","Romanov",M,"Grand Duke","1879",,"1956",
161,"Mathilde (Maria)","Krzesinska",F,,"1872",,"1971",
162,"Frederick William_III","",M,"King of Prussia","1770","Potsdam,Germany","1840",
163,"Alexandra of_Greece","",F,"Princess","1870",,"1891",
164,"Dmitri Pavlovich","Romanov",M,"Grand Duke","1891",,"1941","Switzerland"
165,"Nicholas","Romanov",M,,"1850",,"1918",
166,"Irina","",F,,"1895",,,
167,"Felix","Yussoupov",M,,"1887",,,
168,"Sarah Margaret","Ferguson",F,"Duchess of York","15 OCT 1959","27 Welbech St.,Marylebone,London,England",,
169,"Ronald Ivor","Ferguson",M,"Major","1931",,,
170,"Susan Mary","Wright",F,,"1937",,,
171,"Teackle Wallis","Warfield",M,,,,,
172,"Alice","Montague",F,,,,,
173,"Violet Hyacinth","Bowes-Lyon",F,,"1882",,"1893",
174,"Mary Frances","Bowes-Lyon",F,,"1883",,"1961",
175,"Patrick","Bowes-Lyon",M,,"1884",,"1949",
176,"John Herbert","Bowes-Lyon",M,,"1886",,"1930",
177,"Alexander Francis","Bowes-Lyon",M,,"1887",,"1911",
178,"Fergus","Bowes-Lyon",M,,"1889",,"1915",
179,"Rose","Bowes-Lyon",F,,"1890",,"1967",
180,"Michael Claude","Bowes-Lyon",M,,"1893",,"1953",
181,"David","Bowes-Lyon",M,"Sir","2 MAY 1902",,"1961","Birkhall"
182,"Claude","Bowes-Lyon",M,"Earl","1824",,"FEB 1904",
183,"Frances Dora","Smith",F,,"1833",,"1922",
184,"Thomas","Lyon-Bowes",M,,"1773",,"1846",
185,"Mary","Carpenter",F,,,,,
186,"Thomas George","Lyon-Bowes",M,,"1822",,"1865",
187,"John","Lyon",M,,"1737",,"1776",
188,"Mary Eleanor","Bowes",F,,"1749",,"1800",
189,"John Lyon","Bowes",M,,"1769",,"1820",
190,"Andrew Robinson","Stoney",M,,,,,
191,"","Elphinstone",M,"Lord","1869",,"1955",
192,"Dorothy Beatrix","Osborne",F,"Lady","1888",,"1946",
193,"Fenella Stuart-Forbes Trefusis","Hepburn",F,"Hon","1889",,"1966",
194,"Christian Norah","Dawson-Damer",F,"Lady","1890",,"1959",
195,"","Granville",M,"Lord","1880",,"1953",
196,"Elizabeth","Cator",F,,"1899",,"1959",
197,"Rachel","Clay",F,"Lady","1907",,,
198,"Jeanne d'Albret of_France","",F,,,,,
199,"Frederick Charles of_Prussia","",M,"Prince",,,,
200,"Maria Anna of_Anhalt","",F,,,,,
201,"John","Campbell",M,"Duke of Argyll","1845",,"1914",
202,"Frederick","Hanover",M,"Duke of York","16 AUG 1763","St. James Palace,London,England","5 JAN 1827","Rutland House,Arlington St.,London,England"
203,"William_IV Henry","Hanover",M,"King of England","21 AUG 1765","Buckingham House,London,England","20 JUN 1837","Windsor Castle,Windsor,Berkshire,England"
204,"Charlotte Augusta Matilda","Hanover",F,"Princess Royal","29 SEP 1766","Buckingham House,St. James Park,London,England","6 OCT 1828","Ludwigsburg"
205,"Ferdinand","",M,,"1785",,"1851",
206,"Mary","",F,,"1799",,"1860",
207,"Charles","Cavendish-Bentin",M,"Reverend","1817",,"1865",
208,"Caroline Louisa","Burnaby",F,,"1832",,"1918",
209,"Augusta Sophia","Hanover",F,,"8 NOV 1768","Buckingham House","22 SEP 1840","Clarence House,St. James"
210,"Elizabeth","Hanover",F,,"22 MAY 1770","Buckingham House","10 JAN 1840","Frankfurt,-am-Main"
211,"Frederick_VI of_Hesse-Homburg","",M,"Landgrave","1769",,"1829",
212,"Ernest Augustus_I","Hanover",M,"King of Hanover","5 JUN 1771","Buckingham House,London,England","18 NOV 1851","Herrenhausen"
213,"Augustus Frederick","Hanover",M,"Duke of Sussex","27 JAN 1773","Buckingham House","21 APR 1843","Kensington Palac"
214,"Mary","Hanover",F,,"25 APR 1776","Buckingham House","30 APR 1857","Gloucester House,Piccadilly,London,England"
215,"Sophia","Hanover",F,,"2 NOV 1777","Buckingham House","27 MAY 1848","Vicarage Place,Kensington"
216,"Octavius","Hanover",M,,"23 FEB 1779","Buckingham House","3 MAY 1783","Kew Palace"
217,"Alfred","Hanover",M,,"22 SEP 1780","Windsor Castle,Windsor,Berkshire,England","20 AUG 1783","Windsor Castle,Windsor,Berkshire,England"
218,"Amelia","Hanover",F,,"7 AUG 1783","Royal Lodge,Windsor,Berkshire,England","2 NOV 1810","Augusta Lodge,Windsor,Berkshire,England"
219,"Adelaide Louisa Theresa","",F,"Princess","13 AUG 1792","Meiningen","2 DEC 1849","Near Stanmore,Middlesex,England"
220,"Charlotte Augusta Louisa","Hanover",F,,"1819",,"27 MAR 1819","Furstenhof,Hanover"
221,"Elizabeth Georgiana Adelaide","Hanover",F,,"10 DEC 1820","St. James Palac","4 MAR 1821","St. James Palac"
222,"Twin-Boy_1","",M,,"23 APR 1822","Bushy Park","23 APR 1822","Bushy Park"
223,"Twin-Boy_2","",M,,"23 APR 1822","Bushy Park","23 APR 1822","Bushy Park"
224,"Marie","",F,,"1852",,"1923",
225,"Christian_IX","",M,"King of Denmark","8 APR 1818","Gottorp","29 JAN 1906","Amalienborg"
226,"Louise of_Hesse-Cassel","",F,"Princess","7 SEP 1817","Cassel","29 SEP 1898","Bernstorff"
227,"William George_I of_the_Hellenes","Oldenburg",M,"King of Greece","24 DEC 1845","Copenhagen,Denmark","18 MAR 1913","Salonika"
228,"Olga Constantinovna","",F,"Princess","1851",,"1926",
229,"Nicholas of_Greece","",M,"Prince","1872",,"1938",
230,"Child_6","",M,,"1913",,,
231,"Child_5","",M,,,,,
232,"Paul_I","Oldenburg",M,"King of Greece","14 DEC 1901","Athens,Greece","6 MAR 1964","Tatoi,Near Athens,Greece"
233,"Helen of_Greece","",F,"Princess","2 MAY 1896","Athens,Greece","28 NOV 1982","Lausanne,Switzerland"
234,"Alexander_I","Oldenburg",M,"King of Greece","1 AUG 1893","Tatoi","25 OCT 1920","Athens,Greece"
235,"Sumner M.","Kirby",F,,,,"1945",
236,"Child_2","",M,,,,,
237,"Child_3","",M,,,,,
238,"Louise Alexandra","Mountbatten",F,"Princess","13 JUL 1889","Schloss,Heiligenberg","7 MAR 1965","Stockholm,Sweden"
239,"Edward John VIII","Spencer",M,"Earl of Spencer","24 JAN 1924","England","29 MAR 1992","London,England"
240,"Sarah","Spencer",F,"Hon.","1955",,,
241,"Jane","Spencer",F,"Hon.","1957",,,
242,"Charles","Spencer",M,"Vicount Althorp","1964",,,
243,"Raine of_Dartmouth","McCorquodale",F,"Countess","SEP 1929",,,
244,"George Earl_of_Harewood","Lascelles",M,"Viscount","1923",,,
245,"Louise Marie d'Orleans","",F,,"3 APR 1812","Palermo,Italy","11 OCT 1850","Ostende"
246,"Ludwig_IX of_Hesse- Darmstadt","",M,"Landgrave",,,,
247,"Frederick_I of_Wurttemberg","",M,"King","1754",,"1816",
248,"Frederica of_Mecklenburg- Strelitz","",F,"Duchess","2 MAR 1778","Hanover,Germany","29 JUN 1841","Hanover"
249,"George_V","Hanover",M,"King of Hanover","27 MAY 1819","Berlin,Germany","12 JUN 1878","Paris,France"
250,"Mary of_Saxe- Altenburg","",F,"Princess","14 APR 1818","Hildburghausen","9 JAN 1907","Gmunden,Austria"
251,"Ernest Augustus of_Cumberland","Hanover",M,"Duke","1845",,"1923",
252,"Frederica","Hanover",F,,"1848",,"1926",
253,"Mary","Hanover",F,,"1849",,"1904",
254,"Thyra of_Denmark","",F,"Princess","1853",,"1933",
255,"Marie Louise","Hanover",F,,"1879",,"1948",
256,"George William","Hanover",M,,"1880",,"1912",
257,"Alexandra","Hanover",F,,"1882",,"1963",
258,"Olga","Hanover",F,,"1884",,"1958",
259,"Christian","Hanover",M,,"1885",,"1901",
260,"Rene of_Bourbon-Parma","",M,"Prince",,,,
261,"Alfons","Pawel-Rammingen",M,"Baron von","1843",,"1932",
262,"George of_Cambridge","",M,"Duke","1819",,"1904",
263,"Sarah (Louisa)","Fairbrother",F,,"1815/1816",,"1890",
264,"George","FitzGeorge",M,,"1843",,"1907",
265,"Adolphus","",M,,"1846",,"1922",
266,"Agustus","",M,,"1847",,"1933",
267,"Rosa","Baring",F,,,,,
268,"Son_1","",M,,,,,
269,"Dau._1","",F,,,,,
270,"Dau._2","",F,,,,,
271,"Frederick William","",M,"Grand Duke","1819",,"1904",
272,"Adolphus Frederick_V","",M,"Grand Duke","1848",,"1914",
273,"Elisabeth of_Anhalt","",F,"Princess","1857",,"1933",
274,"Son_1","",M,,,,,
275,"Son_2","",M,,,,,
276,"Dau._1","",F,,,,,
277,"Dau._2","",F,,,,,
278,"Adolphus 2nd","",M,"Duke of Teck","1868",,"1927",
279,"Francis","",M,"Prince","1870",,"1910",
280,"Alexander George of_Teck","",M,"Earl of Athlone","1874",,"1957",
281,"Margaret","Grosvenor",F,"Lady","1873",,"1929",
282,"George of_Cambridge","",M,"Marquess","1895",,,
283,"Son_2","",M,,,,,
284,"Mary","",F,"Lady","1897",,,
285,"Helena","",F,"Lady","1899",,"1969",
286,"Edward_II","",M,"King of England","25 APR 1284","Caernarvon,Castle,Wales","21 SEP 1327","Berkeley Castle,Gloucestershire"
287,"Rupert","",M,"Vicount Trematon",,,"1928",
288,"Son_2","",M,,,,,
289,"May Cambridge","",F,"Lady","1906",,,
290,"William Frederick of_Gloucester","",M,"Duke","1776",,"1834",
291,"Gerald","Lascelles",M,"Hon.","1924",,,
292,"Marion (Maria) Donata","Stein",F,"Countess","1926",,,
293,"David","Lascelles",M,"Viscount","1950",,,
294,"James","Lascelles",M,"Hon.","1953",,,
295,"Jeremy","Lascelles",M,"Hon.","1955",,,
296,"Angela","Dowding",F,,"1919",,,
297,"Henry","Lascelles",M,,"1953",,,
298,"William of_Hesse-Cassel","",M,"Landgrave","1787",,"1867",
299,"Louise Charlotte of_Denmark","",F,"Princess","1789",,"1864",
300,"Other_issue","",M,,,,,
301,"Frederick of_Hesse-Cassel","",M,"Landgrave","1747",,"1837",
302,"Caroline of_Nassau- Usingen","",F,"Princess","1762",,"1823",
303,"Alexander of_Wurttemberg","",M,"Duke","1804",,"1885",
304,"Claudine","",F,"Countess Rhedey","1814",,"1841",
305,"Claudine","",F,"Princess of Teck","1836",,"1894",
306,"Amelie","",F,"Princess of Teck","1838",,"1893",
307,"Paul","von_Hugel",M,"Baron","1835",,"1897",
308,"Paul","von_Hugel",M,"Count","1872",,"1912",
309,"Ferdinand_I of_Hohenzollern- Sigmaringen","Hohenzollern",M,"King of Romania","24 AUG 1865","Sigmaringen,Germany","20 JUL 1927","Sinaia,Romania"
310,"Christian Victor","",M,,"1867",,"1900",
311,"Albert of_Schleswig- Holstein","",M,"Duke","1869",,"1931",
312,"Helena Victoria","",F,"Princess","1870",,"1948",
313,"Frederick Harold","",M,,"12 MAY 1876",,"20 MAY 1876",
314,"Patricia","Tuckwell",F,,"1923",,,
315,"Mark","Lascelles",M,"Hon.","1964",,,
316,"Elizabeth Collingwood","Colvin",F,,"1924",,,
317,"Davina Elizabeth Alice","Windsor",F,"Lady","19 NOV 1977",,,
318,"Rose Victoria Birgitte","Windsor",F,"Lady","1 MAR 1980","St. Marys Hosp.,Paddington,England",,
319,"Marie-Christine","von_Reibnitz",F,"Baroness","15 JAN 1945","Czechoslovakia",,
320,"Frederick","Windsor",M,"Lord","6 APR 1979","St. Mary's Hosp.,Paddington,London,England",,
321,"George_II","Hanover",M,"King of England","30 OCT 1683","Herrenhausen,Palace,Hannover,Germany","25 OCT 1760","Kensington,Palace,London,England"
322,"Caroline of_Ansbach","",F,,"1683",,"1737",
323,"Frederick Louis","Hanover",M,"Prince of Wales","31 JAN 1701","Hanover","31 MAR 1751","Leicester-House,,London,England"
324,"Anne","Hanover",F,"Princess Royal","2 NOV 1709","Herrenhausen","12 JAN 1759","The Hague"
325,"Amelia Sophia Eleanor","Hanover",F,,"10 JUL 1711","Herrenhausen","31 OCT 1786","Cavendish Square,,London,England"
326,"Caroline Elizabeth","Hanover",F,,"21 JUN 1713","Herrenhausen","28 DEC 1757","St. James Palace,,,England"
327,"Son","",M,,"20 NOV 1716","St. James Palace,London,England","20 NOV 1716","St. James Palace,London,England"
